Label,Calligrapher Name,Total,Training set size,Testing set size,Style
wxz,王羲之,6741,5393,1348,行書
yzq,顏真卿,6756,5405,1351,楷書
lgq,柳公權,6763,5410,1353,楷書
sgt,孫過庭,6251,5001,1250,草書
smh,沙孟海,1267,1014,253,行草
mf,米芾,6763,5410,1353,行書
htj,黃庭堅,6714,5371,1343,行書
oyx,歐陽詢,3510,2808,702,楷書
zmf,趙孟頫,2012,1610,402,行書
csl,褚遂良,1075,860,215,楷書
wzm,文徵明,4526,3621,905,行書
lqs,梁秋生,6757,5406,1351,手寫書法體
yyr,于右任,6763,5410,1353,草書
hy,弘一,3331,2665,666,楷書
bdsr,八大山人,1985,1588,397,行草
fwq,范文強,6763,5410,1353,行書
gj,管峻,6763,5410,1353,楷書
shz,宋徽宗,6763,5410,1353,楷書
mzd,毛澤東,6763,5410,1353,現代行草
lx,魯迅,6763,5410,1353,現代行草
